name,score,description
"2,2'-[(4-Amino-3-nitrophenyl)imino]bisethanol hydrochloride and its salts",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Naphthalene-1,5-diol and its salts",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
Hydroxypropyl bis(N-hydroxyethyl-p-phenylenediamine) and its tetrahydro-chloride,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"4-Nitro-1,2-phenylenediamine",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
5-Amino-o-cresol,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"2,4-Diaminophenoxyethanol, its hydrochloride and its sulphate",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"1,3-benzenediol, 2-methyl",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
4-Amino-m-cresol,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
2-[(3-Amino-4-methoxyphenyl)amino]ethanol and its sulphate,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"Hydroxyethyl-3,4-methylenedioxyaniline and its hydrochloride",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
"2,2'-[[4-[(2-Hydroxyethyl)amino]-3-nitrophenyl]imino]bisethanol (see note 17)",-5,Substanta RESTRICTIOANATA in UE (Anexa III)
4-[(2-Hydroxyethyl)amino-3-nitrophenol,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
1-(.beta.-Ureidoethyl)amino-4-nitrobenzene,-5,Substanta RESTRICTIOANATA in UE (Anexa III)
