name,score,description
"2-Phenylindan-1,3-dione (Phenindione (INN))",-10,Substanta INTERZISA in UE (Anexa II)
Ethylphenacemide (pheneturide (INN)),-10,Substanta INTERZISA in UE (Anexa II)
Phenprocoumon (INN),-10,Substanta INTERZISA in UE (Anexa II)
Fenyramidol (INN),-10,Substanta INTERZISA in UE (Anexa II)
Triamterene (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Tetraethyl pyrophosphate   (TEPP - ISO),-10,Substanta INTERZISA in UE (Anexa II)
Tritolyl phosphate,-10,Substanta INTERZISA in UE (Anexa II)
Psilocybine (INN),-10,Substanta INTERZISA in UE (Anexa II)
Phosphorus and metalphosphides,-10,Substanta INTERZISA in UE (Anexa II)
Thalidomide (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Physostigma venenosum Balf.,-10,Substanta INTERZISA in UE (Anexa II)
Picrotoxin,-10,Substanta INTERZISA in UE (Anexa II)
Pilocarpine and its salts,-10,Substanta INTERZISA in UE (Anexa II)
"alpha-Piperidin-2-ylbenzyl acetate, laevorotatory threoform (levofacetoperane (INN)) and its salts",-10,Substanta INTERZISA in UE (Anexa II)
Pipradrol (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Azacyclonol (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Bietamiverine (INN),-10,Substanta INTERZISA in UE (Anexa II)
Butopiprine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Lead and its compounds,-10,Substanta INTERZISA in UE (Anexa II)
Coniine,-10,Substanta INTERZISA in UE (Anexa II)
"Prunus laurocerasus L. (""cherry laurel water"")",-10,Substanta INTERZISA in UE (Anexa II)
Metyrapone (INN),-10,Substanta INTERZISA in UE (Anexa II)
"Radioactive substances, as defined by Directive 96/29/Euratom (1) laying down the basic safety standards for the protection of the health of workers and the general public against the dangers arising from ionising radiation",-10,Substanta INTERZISA in UE (Anexa II)
"Juniperus sabina L. (leaves, essential oil and galenical preparations)",-10,Substanta INTERZISA in UE (Anexa II)
"Hyoscine, its salts and derivatives",-10,Substanta INTERZISA in UE (Anexa II)
Gold salts,-10,Substanta INTERZISA in UE (Anexa II)
Selenium and its compounds with the exception of selenium disulphide under the conditions set out under reference No 49 in Annex III,-10,Substanta INTERZISA in UE (Anexa II)
Solanum nigrum L. and its galenical preparations,-10,Substanta INTERZISA in UE (Anexa II)
Sparteine (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Glucocorticoids (Corticosteroids),-10,Substanta INTERZISA in UE (Anexa II)
Datura stramonium L. and its galenical preparations,-10,Substanta INTERZISA in UE (Anexa II)
"Strophantines, their aglucones and their respective derivatives",-10,Substanta INTERZISA in UE (Anexa II)
Strophantus species and their galenical preparations,-10,Substanta INTERZISA in UE (Anexa II)
Strychnine and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Strychnos species and their galenical preparations,-10,Substanta INTERZISA in UE (Anexa II)
"Narcotics, natural and synthetic: All substances listed in Tables I and II of the Single Convention on Narcotic Drugs signed in New York on 30 March 1961",-10,Substanta INTERZISA in UE (Anexa II)
Sulphonamides (sulphanilamide and its derivatives obtained by substitution of one or more H-atoms of the -NH2 groups) and their salts,-10,Substanta INTERZISA in UE (Anexa II)
Sultiame (INN),-10,Substanta INTERZISA in UE (Anexa II)
Neodymium and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Thiotepa (INN),-10,Substanta INTERZISA in UE (Anexa II)
Pilocarpus jaborandi Holmes and its galenical preparations,-10,Substanta INTERZISA in UE (Anexa II)
Tellurium and its compounds,-10,Substanta INTERZISA in UE (Anexa II)
Xylometazoline (INN) and its salts,-10,Substanta INTERZISA in UE (Anexa II)
Tetrachloroethylene,-10,Substanta INTERZISA in UE (Anexa II)
Carbon tetrachloride,-10,Substanta INTERZISA in UE (Anexa II)
Hexaethyl tetraphosphate,-10,Substanta INTERZISA in UE (Anexa II)
Thallium and its compounds,-10,Substanta INTERZISA in UE (Anexa II)
"Thevetia neriifolia Juss., Glycoside extract",-10,Substanta INTERZISA in UE (Anexa II)
Ethionamide (INN),-10,Substanta INTERZISA in UE (Anexa II)
